franchID,name,yearID,W,L,T,Cwin,CRU
DRA,Wei Chuan Dragons,1990,52,34,4,Y,N
TIG,Mercuries Tigers,1990,47,38,5,N,Y
LIO,Uni-President Lions,1990,37,49,4,N,N
ELE,Brother Elephants,1990,34,49,7,N,N
DRA,Wei Chuan Dragons,1991,46,36,8,N,N
TIG,Mercuries Tigers,1991,35,46,9,N,Y
LIO,Uni-President Lions,1991,46,34,10,Y,N
ELE,Brother Elephants,1991,38,49,3,N,N
DRA,Wei Chuan Dragons,1992,41,42,7,N,N
TIG,Mercuries Tigers,1992,36,47,7,N,N
LIO,Uni-President Lions,1992,41,45,4,N,N
ELE,Brother Elephants,1992,51,35,4,Y,N
DRA,Wei Chuan Dragons,1993,48,40,2,N,N
TIG,Mercuries Tigers,1993,33,54,3,N,N
LIO,Uni-President Lions,1993,54,34,2,N,Y
ELE,Brother Elephants,1993,52,36,2,Y,N
EAG,China Times Eagles,1993,36,52,2,N,N
BER,Jungo Bears,1993,40,47,3,N,N
DRA,Wei Chuan Dragons,1994,36,52,2,N,N
TIG,Mercuries Tigers,1994,40,47,3,N,N
LIO,Uni-President Lions,1994,48,38,4,N,N
ELE,Brother Elephants,1994,64,24,2,Y,N
EAG,China Times Eagles,1994,46,43,1,N,N
BER,Jungo Bears,1994,29,59,2,N,N
DRA,Wei Chuan Dragons,1995,47,52,1,N,N
TIG,Mercuries Tigers,1995,49,48,3,N,N
LIO,Uni-President Lions,1995,62,36,2,Y,N
ELE,Brother Elephants,1995,48,51,1,N,N
EAG,China Times Eagles,1995,49,50,1,N,N
BER,Jungo Bears,1995,40,58,2,N,N
LIO,Uni-President Lions,1996,60,37,3,Y,N
EAG,China Times Eagles,1996,56,41,3,N,N
DRA,Wei Chuan Dragons,1996,55,43,2,N,Y
ELE,Brother Elephants,1996,52,43,5,N,N
TIG,Mercuries Tigers,1996,39,57,4,N,N
BER,Sinon Bulls,1996,28,69,3,N,N
LIO,Uni-President Lions,1997,58,31,7,N,N
TIG,Mercuries Tigers,1997,46,44,6,N,N
ELE,Brother Elephants,1997,45,44,7,N,N
DRA,Wei Chuan Dragons,1997,46,46,4,Y,N
BER,Sinon Bulls,1997,45,48,3,N,N
EAG,China Times Eagles,1997,41,51,4,N,N
WHA,Chinatrust Wales,1997,39,56,1,N,N
BER,Sinon Bulls,1998,58,45,2,N,Y
LIO,Uni-President Lions,1998,57,45,3,N,N
DRA,Wei Chuan Dragons,1998,56,48,1,Y,N
WHA,Chinatrust Wales,1998,54,49,2,N,N
TIG,Mercuries Tigers,1998,50,52,3,N,N
ELE,Brother Elephants,1998,33,69,3,N,N
WHA,Chinatrust Wales,1999,60,29,2,N,Y
LIO,Uni-President Lions,1999,56,37,0,N,N
DRA,Wei Chuan Dragons,1999,49,39,4,Y,N
TIG,Mercuries Tigers,1999,39,52,2,N,N
ELE,Brother Elephants,1999,37,53,4,N,N
BER,Sinon Bulls,1999,30,61,2,N,N
BER,Sinon Bulls,2000,51,38,1,N,Y
LIO,Uni-President Lions,2000,44,43,3,Y,N
WHA,Chinatrust Wales,2000,41,45,4,N,N
ELE,Brother Elephants,2000,38,48,4,N,N
LIO,Uni-President Lions,2001,49,37,4,N,Y
ELE,Brother Elephants,2001,44,39,7,Y,N
WHA,Chinatrust Wales,2001,45,45,0,N,N
BER,Sinon Bulls,2001,34,51,5,N,N
ELE,Brother Elephants,2002,53,33,4,Y,N
WHA,Chinatrust Wales,2002,45,42,3,N,Y
BER,Sinon Bulls,2002,44,45,1,N,N
LIO,Uni-President Lions,2002,32,54,4,N,N
ELE,Brother Elephants,2003,63,31,6,Y,N
BER,Sinon Bulls,2003,62,32,6,N,Y
LIO,Uni-President Lions,2003,54,39,7,N,N
WHA,Chinatrust Wales,2003,51,43,6,N,N
GID,Macoto Gida,2003,30,64,6,N,N
MON,First Financial Holdings Agan,2003,20,71,9,N,N
LIO,Uni-President Lions,2004,54,40,6,N,Y
BER,Sinon Bulls,2004,52,43,5,Y,N
ELE,Brother Elephants,2004,54,45,1,N,N
WHA,Chinatrust Wales,2004,45,50,5,N,N
GID,Macoto Cobras,2004,43,54,3,N,N
MON,La New Bears,2004,40,56,4,N,N
BER,Sinon Bulls,2005,53,42,6,Y,N
GID,Macoto Cobras,2005,50,43,8,N,Y
LIO,Uni-President Lions,2005,48,49,3,N,N
ELE,Brother Elephants,2005,47,49,4,N,N
WHA,Chinatrust Wales,2005,47,49,4,N,N
MON,La New Bears,2005,42,55,3,N,N
MON,La New Bears,2006,62,34,4,Y,N
LIO,Uni-President Lions,2006,48,45,7,N,Y
BER,Sinon Bulls,2006,48,49,3,N,N
GID,Macoto Cobras,2006,48,50,2,N,N
WHA,Chinatrust Wales,2006,42,51,7,N,N
ELE,Brother Elephants,2006,40,59,1,N,N
LIO,Uni-President Lions,2007,58,41,1,Y,N
MON,La New Bears,2007,58,42,0,N,Y
ELE,Brother Elephants,2007,49,50,1,N,N
WHA,Chinatrust Wales,2007,46,52,2,N,N
GID,Macoto Cobras,2007,44,55,1,N,N
BER,Sinon Bulls,2007,42,57,1,N,N
LIO,Uni-President Lions,2008,67,33,0,Y,N
MON,La New Bears,2008,61,35,4,N,N
ELE,Brother Elephants,2008,52,42,4,N,Y
WHA,Chinatrust Wales,2008,39,61,0,N,N
GID,dMedia T-Rex,2008,37,60,1,N,N
BER,Sinon Bulls,2008,37,62,1,N,N
LIO,Uni-President Lions,2009,63,54,3,Y,N
MON,La New Bears,2009,61,58,1,N,N
BER,Sinon Bulls,2009,57,60,3,N,N
ELE,Brother Elephants,2009,54,63,3,N,Y
BER,Sinon Bulls,2010,65,53,2,N,Y
ELE,Brother Elephants,2010,61,57,2,Y,N
MON,La New Bears,2010,55,62,3,N,N
LIO,Uni-President Lions,2010,54,63,3,N,N
MON,Lamigo Monkeys,2011,66,52,2,N,Y
LIO,Uni-President Lions,2011,65,52,3,Y,N
ELE,Brother Elephants,2011,60,60,0,N,N
BER,Sinon Bulls,2011,45,72,3,N,N
LIO,Uni-President Lions,2012,71,48,1,N,Y
MON,Lamigo Monkeys,2012,66,52,2,Y,N
ELE,Brother Elephants,2012,60,58,2,N,N
BER,Sinon Bulls,2012,38,77,5,N,N
LIO,Uni-President Lions,2013,62,55,3,Y,N
BER,EDA Rhinos,2013,62,57,1,N,Y
MON,Lamigo Monkeys,2013,58,60,2,N,N
ELE,Brother Elephants,2013,55,65,0,N,N
MON,Lamigo Monkeys,2014,66,51,3,Y,N
LIO,Uni-President Lions,2014,58,55,7,N,N
BER,EDA Rhinos,2014,58,60,2,N,N
ELE,Chinatrust Brothers,2014,50,66,4,N,Y
MON,Lamigo Monkeys,2015,68,52,0,Y,N
ELE,Chinatrust Brothers,2015,63,56,1,N,Y
BER,EDA Rhinos,2015,58,61,1,N,N
LIO,Uni-President Lions,2015,49,69,2,N,N
ELE,Chinatrust Brothers,2016,68,50,2,N,Y
BER,EDA Rhinos,2016,61,58,1,Y,N
LIO,Uni-President Lions,2016,55,65,0,N,N
MON,Lamigo Monkeys,2016,53,64,3,N,N
MON,Lamigo Monkeys,2017,78,41,1,Y,N
LIO,Uni-President Lions,2017,57,61,2,N,N
ELE,Chinatrust Brothers,2017,53,64,3,N,Y
BER,Fubon Guardians,2017,48,70,2,N,N
MON,Lamigo Monkeys,2018,73,47,0,Y,N
LIO,Uni-President Lions,2018,64,55,1,N,Y
BER,Fubon Guardians,2018,54,66,0,N,N
ELE,Chinatrust Brothers,2018,48,71,1,N,N
BER,Fubon Guardians,2019,63,55,2,N,N
MON,Lamigo Monkeys,2019,63,55,2,Y,N
ELE,Chinatrust Brothers,2019,62,56,2,N,Y
LIO,Uni-President Lions,2019,48,70,2,N,N
ELE,CTBC Brothers,2020,67,51,2,N,Y
MON,Rakuten Monkeys,2020,59,61,0,N,N
LIO,Uni-President Lions,2020,58,61,1,Y,N
BER,Fubon Guardians,2020,54,65,1,N,N
ELE,CTBC Brothers,2021,66,49,5,Y,N
LIO,Uni-President Lions,2021,64,51,5,N,Y
MON,Rakuten Monkeys,2021,56,61,3,N,N
BER,Fubon Guardians,2021,54,62,4,N,N
DRA,Wei Chuan Dragons,2021,50,67,3,N,N
ELE,CTBC Brothers,2022,69,47,4,Y,N
LIO,Uni-President Lions,2022,48,69,3,N,N
MON,Rakuten Monkeys,2022,70,46,4,N,Y
BER,Fubon Guardians,2022,46,70,4,N,N
DRA,Wei Chuan Dragons,2022,57,58,5,N,N
